"name","d15n_air","d13c_vpdb","date"
"71",7.09,NA,2022-10-24
"72",NA,-26.33,2022-10-24
"73",NA,-5.6,2022-10-24
"74",-16.41,-46.41,2022-10-24
"75",-8.36,-27.77,2022-10-24
"76",-10.79,-26.54,2022-10-24
"77",6.04,NA,2022-10-24
"78",0.97,-22.51,2022-10-24
"79",-3.25,-31.66,2022-10-24
"80",-7.05,-49.87,2022-10-24
"81",4.56,-32.07,2022-10-24
"82",-10.39,-42.46,2022-10-24
"83",0.76,-37.34,2022-10-24
"84",2.78,-35.65,2022-10-24
"85",1.85,-24.95,2022-10-24
"86",-10.69,-29.58,2022-10-24
"87",6.49,NA,2022-10-24
"88",1,-40.15,2022-10-24
"89",NA,-2.77,2022-10-24
"90",3.41,-25.74,2022-10-24
"91",5.82,-30.15,2022-10-24
"92",5.59,-28.52,2022-12-19
"93",4.34,-30.08,2022-10-24
"94",8.27,NA,2022-10-24
"95",3.87,-27.28,2022-10-24
"96",NA,-12.27,2022-10-24
"97",9.57,-28.62,2022-12-19
"98",6.91,NA,2022-10-24
"99",9.43,-27.2,2022-10-24
"100",2.73,-32.54,2022-10-24
"101",4.37,-26.86,2022-10-24
"102",3.19,-31.16,2022-12-19
"103",5.45,-28.85,2022-10-24
"104",2.35,-27.28,2022-10-24
"105",5.71,-27.94,2022-12-19
"106",4.47,-30.76,2022-10-24
"107",4.57,-32.65,2022-10-24
"108",NA,-27.52,2022-10-24
"109",3.8,-27.97,2022-10-24
"110",5.51,-28.74,2022-10-24
"111",1.16,-38.43,2022-10-24
"112",2.35,-28.99,2022-10-24
"113",6.71,-28.22,2022-10-24
"114",4.56,-27.54,2022-10-24
"115",3.39,-2.46,2022-10-24
"116",4.27,-0.93,2022-10-24
"117",3.94,-28.45,2022-10-24
"118",1.49,-28.43,2022-10-24
"119",4.4,-27.03,2022-10-24
"120",4.39,-14.7,2022-10-24
"121",15.32,NA,2022-10-24
"122",8.1,-20.96,2022-10-24
"123",4.82,-28.91,2022-10-24
"124",8.55,-29.42,2022-12-19
"125",12.5,-24.49,2022-10-24
"126",12.38,NA,2022-10-24
"127",9.61,NA,2022-10-24
"128",12.59,-24.57,2022-10-24
"129",5.9,-29.46,2022-12-19
"130",6.32,-29.4,2022-10-24
"131",5.93,-29.14,2022-10-24
"132",1.7,-32.27,2022-12-19
"133",7.51,-30.21,2022-10-24
"134",6.69,-14.91,2022-10-24
"135",5.37,-19.8,2022-12-19
"136",11.04,NA,2022-10-24
"137",2.76,-28.8,2022-10-24
"138",4.96,-28.78,2022-10-24
"139",2.06,-28.04,2022-10-24
"140",-0.62,-36.01,2022-10-24
"141",3.94,-20.3,2022-10-24
"142",9.71,NA,2022-10-24
"143",0.87,-29.05,2022-10-24
"144",0.5,-28.62,2022-10-24
"145",7.31,NA,2022-10-24
"146",6.72,-27.39,2022-10-24
"147",0.79,-27.75,2022-10-24
"148",0.34,-26.58,2022-10-24
"149",8.46,-29.25,2022-10-24
"150",3.93,-26.46,2022-10-24
"151",-24.86,-19.64,2022-10-24
"152",-2.71,-26.14,2022-10-24
"153",0.35,-28.33,2022-10-24
"154",-3.58,-28.07,2022-10-24
"155",7.99,-24.74,2022-10-24
"156",2.85,-24.77,2022-10-24
"157",-1.16,-28.21,2022-10-24
"158",6.82,-25.87,2022-10-24
"159",3.47,-30.21,2022-10-24
"160",7.66,NA,2022-10-24
"161",2.53,NA,2022-10-24
"162",-26.74,-26.87,2022-10-24
"163",1.34,-24.35,2022-10-24
"164",-8.18,-24.92,2022-10-24
"165",-15.13,-27.42,2022-10-24
"166",2.54,-29.27,2022-10-24
"167",3.48,NA,2022-10-24
"168",-12.8,-28.31,2022-10-24
"169",-1.78,-25.85,2022-10-24
"170",3.18,-26.09,2022-10-24
"171",-7.06,-9.31,2022-10-24
"172",18.45,-28.9,2022-10-24
"173",17.23,-29.29,2022-10-24
"174",-18.21,-26.73,2022-10-24
"175",-11.52,-28.79,2022-10-24
"176",6.72,-24.29,2022-10-24
"177",4.68,-28.19,2022-10-24
"178",11.6,-16.31,2022-10-24
"179",1.21,-26.43,2022-10-24
"180",-12.18,-27.21,2022-10-24
"181",-7.89,0.58,2022-10-24
"182",4.15,-18.71,2022-10-24
"183",7.68,NA,2022-10-24
"184",2.04,-27.89,2022-10-24
"185",0.43,-25.23,2022-10-24
"186",66.71,-13.29,2022-10-24
"187",3.22,-28.89,2022-10-24
"188",2.71,-10.94,2022-10-24
"189",-1.09,-23.12,2022-10-24
"190",17.29,-28.77,2022-10-24
"191",1.58,-28.04,2022-10-24
"192",0.37,-26.74,2022-10-24
"193",5.15,-24.26,2022-10-24
"194",2.61,-26.53,2022-10-24
"195",4.81,-7.2,2022-10-24
"196",4.57,-5.12,2022-10-24
"197",-1.36,-21.34,2022-10-24
"198",0.54,-26.13,2022-10-24
"199",3.22,-28.57,2022-10-24
"200",3.97,-16.07,2022-10-24
"201",1.24,-27.3,2022-10-24
"202",13.7,NA,2022-10-24
"203",13.97,NA,2022-10-24
"204",0.93,-29.26,2022-10-24
"205",5.05,-28.11,2022-10-24
"206",4.82,-16.68,2022-10-24
"207",9.79,-27.13,2022-10-24
"208",4.06,-28.38,2022-10-24
"209",15.41,NA,2022-10-24
"210",3.02,-27.12,2022-10-24
"211",4.13,-27.77,2022-10-24
"212",5.89,-22.79,2022-10-24
"213",1.43,-29.17,2022-10-24
"214",11.69,-17.71,2022-10-24
"215",1,-13.01,2022-10-24
"216",3.43,-26.09,2022-10-24
"217",8.16,-14.91,2022-10-24
"218",3.31,NA,2022-10-24
"219",2.68,-16.56,2022-10-24
"220",5.92,-13.96,2022-10-24
"221",4.87,-25.82,2022-10-24
"222",7.33,-28.03,2022-10-24
"223",12.6,-21.9,2022-10-24
"224",-0.19,-19.64,2022-10-24
"225",13.83,NA,2022-10-24
"226",-7.42,-2.45,2022-10-24
"227",10.87,-21.78,2022-10-24
"228",1.09,-26.99,2022-10-24
"229",1.09,-23.39,2022-10-24
"230",4.68,-26.95,2022-10-24
"231",9.36,-15.01,2022-10-24
"232",3.41,-25.84,2022-10-24
"233",-0.27,-11.48,2022-10-24
"234",8.22,-21.01,2022-10-24
"235",3.29,-28.12,2022-10-24
"236",6.45,-27.64,2022-10-24
"237",1.32,-20.74,2022-10-24
"238",-2.11,-1.28,2022-10-24
"239",8.03,-28.34,2022-10-24
"240",3.04,-27.19,2022-10-24
"241",0.49,-23.99,2022-10-24
"242",2.92,-15.6,2022-10-24
"243",3.78,-26.25,2022-10-24
"244",4.09,-28.55,2022-10-24
"245",9.79,-25.06,2022-10-24
"246",-4.55,-0.7,2022-10-24
"247",9.91,-16.51,2022-10-24
"248",3.82,-27.73,2022-10-24
"249",4.54,-26.74,2022-10-24
"250",7.38,-15.46,2022-10-24
"251",-0.18,-27.76,2022-10-24
"252",1.04,-25,2022-10-24
"253",3.91,-26.61,2022-10-24
"254",2.61,-26.03,2022-10-24
"255",5.79,-28.16,2022-10-24
"256",11.11,-24.92,2022-10-24
"257",1.2,-25.3,2022-10-24
"258",1.23,-22.06,2022-10-24
"259",-1.28,-26.27,2022-10-24
"260",3.43,-25.3,2022-10-24
"261",1.77,-23.2,2022-10-24
"262",4.91,-25.32,2022-10-24
"263",-0.77,-23.1,2022-10-24
"264",6.34,-15.98,2022-10-24
"265",3.54,-20.6,2022-10-24
"266",-0.06,-25.88,2022-10-24
"267",-4.5,-27.8,2022-10-24
"268",1.77,-12.09,2022-10-24
"269",0.1,-26.72,2022-10-24
"270",2.46,-29.24,2022-10-24
"271",7.4,-28.57,2022-10-24
"272",3.93,-27.77,2022-10-24
"273",3.73,-28.99,2022-10-24
"274",0.32,-27.68,2022-10-24
"275",5.59,-21.22,2022-10-24
"276",6.68,-16.7,2022-10-24
