No. ,Info  ,Name  ,Method  ,Weight  [mg],N  Area,C  Area,N  Factor,C  Factor,N  [%],C  [%],C/N  ratio,Memo  ,Date       Time  
70,,aspartic,20mg150sIRMS_delay,0.518,2094,5752,0.9974,0.8873,10.52,36.09,3.4306,,2/24/2023 1:57
71,"Nu,Cu",41,20mg150sIRMS_delay,9.895,170,830,0.9974,0.8873,0.04,0.27,6.0794,,2/24/2023 2:10
72,"Nu,Cu",42,20mg150sIRMS_delay,10.212,208,974,0.9974,0.8873,0.05,0.31,5.8187,,2/24/2023 2:23
73,"Nu,Cu",43,20mg150sIRMS_delay,10.388,178,456,0.9974,0.8873,0.05,0.14,3.1755,,2/24/2023 2:37
74,"Nu,Cu",44,20mg150sIRMS_delay,10.187,225,1766,0.9974,0.8873,0.06,0.56,9.7363,,2/24/2023 2:50
75,"Nu,Cu",45,20mg150sIRMS_delay,10.429,210,872,0.9974,0.8873,0.05,0.27,5.1507,,2/24/2023 3:03
76,"Nu,Cu",46,20mg150sIRMS_delay,10.273,190,712,0.9974,0.8873,0.05,0.23,4.6582,,2/24/2023 3:16
77,"Nu,Cu",46-rep,20mg150sIRMS_delay,10.325,225,790,0.9974,0.8873,0.06,0.25,4.3628,,2/24/2023 3:30
78,"Nu,Cu",47,20mg150sIRMS_delay,10.375,178,498,0.9974,0.8873,0.05,0.16,3.4717,,2/24/2023 3:43
79,,48,20mg150sIRMS_delay,9.603,829,10535,0.9974,0.8873,0.23,3.58,15.8548,,2/24/2023 3:56
80,Nu,49,20mg150sIRMS_delay,9.663,225,2854,0.9974,0.8873,0.06,0.96,15.7133,,2/24/2023 4:10
81,Nu,50,20mg150sIRMS_delay,10.335,377,3841,0.9974,0.8873,0.1,1.21,12.6358,,2/24/2023 4:23
82,,aspartic,20mg150sIRMS_delay,0.458,1896,5147,0.9736,0.8769,10.52,36.09,3.4306,,2/24/2023 4:36
83,"Nu,Cu",51,20mg150sIRMS_delay,10.456,146,512,0.9736,0.8769,0.04,0.16,4.422,,2/24/2023 4:49
84,Nu,52,20mg150sIRMS_delay,9.762,384,3617,0.9736,0.8769,0.1,1.19,11.8171,,2/24/2023 5:02
85,Nu,53,20mg150sIRMS_delay,10.006,269,7577,0.9736,0.8769,0.07,2.43,35.379,,2/24/2023 5:16
86,"Nu,Cu",MT,20mg150sIRMS_delay,100,89,36,0.9736,0.8769,0,0,0.5002,,2/24/2023 5:29
87,,aspartic,20mg150sIRMS_delay,0.538,2133,5953,1.017,0.8904,10.52,36.09,3.4306,,2/24/2023 5:42
88,Cu,aspartic-,20mg150sIRMS_delay,0.094,704,1296,1.017,0.8904,20,45.09,2.2542,, 
89,,aspartic,20mg150sIRMS_delay,1.009,3735,9239,1.0897,1.0739,10.52,36.09,3.4306,,2/24/2023 6:09
90,,aspartic,20mg150sIRMS_delay,3.03,13611,33138,0.8995,0.8978,10.52,36.09,3.4306,,2/24/2023 6:22
91,"Nu,Cu",moran-low,20mg150sIRMS_delay,0.059,258,767,0.9946,0.9858,11.45,47.09,4.112,,2/24/2023 6:35
92,,moran-med,20mg150sIRMS_delay,0.51,1852,6202,0.9946,0.9858,9.43,43.92,4.6595,,2/24/2023 6:48
93,,7,20mg150sIRMS_delay,9.754,693,5885,0.9946,0.9858,0.19,2.18,11.7406,,2/24/2023 7:01
94,Nu,8,20mg150sIRMS_delay,10.105,168,5292,0.9946,0.9858,0.04,1.89,43.5397,,2/24/2023 7:15
95,Nu,9,20mg150sIRMS_delay,9.673,229,6172,0.9946,0.9858,0.06,2.3,37.2279,,2/24/2023 7:28
96,Nu,10,20mg150sIRMS_delay,10.128,388,4712,0.9946,0.9858,0.1,1.68,16.7808,,2/24/2023 7:41
97,"Nu,Cu",MT,20mg150sIRMS_delay,100,63,60,0.9946,0.9858,0,0,1.3028,,2/24/2023 7:54
98,,aspartic,20mg150sIRMS_delay,0.505,2121,5896,0.9598,0.8439,10.52,36.09,3.4306,,2/24/2023 8:07
99,Nu,11,20mg150sIRMS_delay,10.164,339,3492,0.9598,0.8439,0.08,1.06,12.6331,,2/24/2023 8:21
100,"Nu,Cu",12,20mg150sIRMS_delay,10.085,227,646,0.9598,0.8439,0.06,0.2,3.4962,,2/24/2023 8:34
101,"Nu,Cu",13,20mg150sIRMS_delay,10.271,184,2086,0.9598,0.8439,0.05,0.63,13.9032,,2/24/2023 8:47
102,"Nu,Cu",14,20mg150sIRMS_delay,10.33,195,979,0.9598,0.8439,0.05,0.29,6.1806,,2/24/2023 9:00
103,Nu,15,20mg150sIRMS_delay,9.976,562,5135,0.9598,0.8439,0.14,1.59,11.1834,,2/24/2023 9:13
104,"Nu,Cu",16,20mg150sIRMS_delay,9.998,191,757,0.9598,0.8439,0.05,0.23,4.8761,,2/24/2023 9:26
105,"Nu,Cu",17,20mg150sIRMS_delay,10.14,164,668,0.9598,0.8439,0.04,0.2,5.0144,,2/24/2023 9:40
106,"Nu,Cu",MT,20mg150sIRMS_delay,100,92,13,0.9598,0.8439,0,0,0.1706,,2/24/2023 9:53
107,,aspartic,20mg150sIRMS_delay,0.539,1696,4785,1.2809,1.1101,10.52,36.09,3.4306,,2/24/2023 10:37
108,,aspartic,20mg150sIRMS_delay,0.533,2996,7836,0.7173,0.6694,10.52,36.09,3.4306,,2/24/2023 11:42
109,"Nu,Cu",MT,20mg150sIRMS_delay,100,185,30,0.9991,0.8898,0,0,0.2047,batch2,10/13/2023 14:30
110,"Nu,Cu",MT,20mg150sIRMS_delay,100,40,47,0.9991,0.8898,0,0,1.4623,"ash crucible, bakeout",10/13/2023 14:43
111,"Nu,Cu",MT,20mg150sIRMS_delay,100,23,44,0.9991,0.8898,0,0,2.3617,,10/13/2023 14:56
112,,runin,20mg150sIRMS_delay,0.52,2289,5733,0.9991,0.8898,11.48,35.93,3.1305,,10/13/2023 15:35
113,,runin,20mg150sIRMS_delay,0.444,1589,4052,0.9991,0.8898,9.34,29.74,3.1854,,10/13/2023 15:48
114,,aspartic,20mg150sIRMS_delay,0.539,2403,5962,0.9045,0.8907,10.52,36.09,3.4306,,10/13/2023 16:01
115,,aspartic,20mg150sIRMS_delay,0.428,1749,4459,0.9865,0.9459,10.52,36.09,3.4306,,10/13/2023 16:15
116,"Nu,Cu",moran-LOW,20mg150sIRMS_delay,0.045,311,811,0.9455,0.9183,17.18,60.77,3.5381,,10/13/2023 16:28
117,"Nu,Cu",moran-MED,20mg150sIRMS_delay,0.065,335,981,0.9455,0.9183,12.82,50.91,3.9713,,10/13/2023 16:41
118,Cu,R1,20mg150sIRMS_delay,10.46,903,819,0.9455,0.9183,0.21,0.26,1.2355,,10/13/2023 16:54
119,"Nu,Cu",R2,20mg150sIRMS_delay,10.155,484,1024,0.9455,0.9183,0.12,0.34,2.8713,,10/13/2023 17:07
120,Cu,R3,20mg150sIRMS_delay,10.47,811,1190,0.9455,0.9183,0.19,0.38,1.9964,,10/13/2023 17:21
121,,R4,20mg150sIRMS_delay,9.6,1333,5989,0.9455,0.9183,0.34,2.1,6.1184,,10/13/2023 17:34
122,,R5,20mg150sIRMS_delay,10.135,909,3602,0.9455,0.9183,0.22,1.2,5.3815,,10/13/2023 17:47
123,"Nu,Cu",R6,20mg150sIRMS_delay,10.181,520,749,0.9455,0.9183,0.13,0.25,1.9557,,10/13/2023 18:00
124,,R7,20mg150sIRMS_delay,10.259,764,8029,0.9455,0.9183,0.18,2.64,14.2641,,10/13/2023 18:13
125,"Nu,Cu",R8,20mg150sIRMS_delay,10.384,437,1158,0.9455,0.9183,0.1,0.38,3.59,,10/13/2023 18:27
126,,R9,20mg150sIRMS_delay,9.882,1399,7207,0.9455,0.9183,0.35,2.45,7.0225,,10/13/2023 18:40
127,"Nu,Cu",R10,20mg150sIRMS_delay,10.24,571,611,0.9455,0.9183,0.14,0.2,1.4516,,10/13/2023 18:53
128,"Nu,Cu",R11,20mg150sIRMS_delay,9.915,498,614,0.9455,0.9183,0.12,0.21,1.6712,,10/13/2023 19:06
129,,R12,20mg150sIRMS_delay,10.384,714,5812,0.9455,0.9183,0.17,1.88,11.0281,,10/13/2023 19:20
130,,R12-rep,20mg150sIRMS_delay,10.126,637,5206,0.9455,0.9183,0.16,1.73,11.0674,,10/13/2023 19:33
131,"Nu,Cu",MT,20mg150sIRMS_delay,100,39,32,0.9455,0.9183,0,0,1.1061,,10/13/2023 19:46
132,,aspartic,20mg150sIRMS_delay,0.419,1663,4443,1.0155,0.9293,10.52,36.09,3.4306,,10/13/2023 19:59
133,,aspartic,20mg150sIRMS_delay,0.479,1940,4919,0.995,0.9597,10.52,36.09,3.4306,,10/13/2023 20:13
134,"Nu,Cu",R13,20mg150sIRMS_delay,10.462,569,963,1.0053,0.9445,0.14,0.32,2.2225,,10/13/2023 20:26
135,"Nu,Cu",R14,20mg150sIRMS_delay,10.283,588,976,1.0053,0.9445,0.15,0.33,2.1784,,10/13/2023 20:39
136,Cu,R15,20mg150sIRMS_delay,10.422,669,672,1.0053,0.9445,0.17,0.22,1.3203,,10/13/2023 20:52
137,,R16,20mg150sIRMS_delay,10.241,1399,6195,1.0053,0.9445,0.36,2.09,5.8371,,10/13/2023 21:06
138,"Nu,Cu",R17,20mg150sIRMS_delay,10.048,465,1055,1.0053,0.9445,0.12,0.36,2.9751,,10/13/2023 21:19
139,,R18,20mg150sIRMS_delay,10.455,841,2664,1.0053,0.9445,0.21,0.88,4.1642,,10/13/2023 21:32
140,,R19,20mg150sIRMS_delay,10.207,1298,5383,1.0053,0.9445,0.33,1.82,5.4618,,10/13/2023 21:45
141,,R20,20mg150sIRMS_delay,9.953,1420,7790,1.0053,0.9445,0.37,2.71,7.2387,,10/13/2023 21:58
142,,R21,20mg150sIRMS_delay,10.254,1326,6618,1.0053,0.9445,0.34,2.23,6.5772,,10/13/2023 22:12
